time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-16T20:20:12.456Z,23.5913,92.4156,10,4.1,mb,43,85,1.155,0.99,us,us7000j4s0,2023-03-31T19:44:41.040Z,"India-Bangladesh border region",earthquake,3.89,1.884,0.12,19,reviewed,us,us
2022-12-30T08:13:20.446Z,21.917,94.4673,99.728,4.2,mb,20,165,2.64,0.33,us,us7000j118,2023-03-07T18:59:59.040Z,"72 km WSW of Monywa, Myanmar",earthquake,15.92,13.518,0.176,9,reviewed,us,us
2022-12-28T04:18:04.774Z,23.2161,94.14,51.119,4.5,mb,57,110,2.364,0.73,us,us7000j0kh,2024-01-18T19:06:34.655Z,"54 km SSW of Mawlaik, Myanmar",earthquake,9.15,6.398,0.093,34,reviewed,us,us
2022-12-18T07:20:42.058Z,22.5559,93.7959,39.483,4.2,mb,15,169,3.498,0.51,us,us7000j0gs,2023-02-28T23:06:25.040Z,"21 km ESE of Hakha, Myanmar",earthquake,12.92,11.778,0.186,8,reviewed,us,us
2022-12-17T16:05:42.099Z,24.2087,94.7294,98.089,4.2,mb,46,122,4.033,0.8,us,us6000ja0r,2023-02-28T23:06:22.040Z,"70 km NNE of Mawlaik, Myanmar",earthquake,9.79,8.434,0.117,23,reviewed,us,us
2022-12-15T17:12:53.035Z,24.8414,95.0837,101.752,4.4,mb,101,55,4.435,0.49,us,us6000j9ij,2023-02-18T22:04:14.040Z,"106 km E of Yairipok, India",earthquake,9.2,5.162,0.062,80,reviewed,us,us
2022-12-01T00:34:02.012Z,21.5043,94.8626,146.092,4,mb,23,95,2.091,0.35,us,us6000j7d2,2023-02-05T23:25:40.040Z,"29 km NW of Pakokku, Myanmar",earthquake,12.54,12.366,0.232,5,reviewed,us,us
2022-11-11T01:32:19.091Z,23.0257,94.1073,42.858,4.2,mb,30,165,3.526,0.5,us,us7000inz1,2023-01-21T19:27:21.040Z,"45 km ENE of Falam, Myanmar",earthquake,12.95,4.868,0.146,14,reviewed,us,us
2022-11-08T06:27:02.122Z,23.0649,94.5122,105.393,4.7,mb,77,54,3.272,0.39,us,us7000in8j,2023-01-21T19:27:14.040Z,"64 km S of Mawlaik, Myanmar",earthquake,3.05,6.686,0.066,69,reviewed,us,us
2022-11-01T13:09:49.581Z,19.6848,94.5597,68.26,4.6,mb,83,76,1.489,0.4,us,us7000ilpd,2023-01-12T23:10:55.040Z,"64 km SSW of Minbu, Myanmar",earthquake,8.91,6.409,0.059,89,reviewed,us,us
2022-10-30T14:45:06.392Z,25.1215,92.205,10,4.2,mb,28,157,5.596,0.77,us,us7000ilc3,2023-01-12T23:10:39.040Z,"31 km NNW of Kar?mganj, India",earthquake,6.84,1.913,0.152,14,reviewed,us,us
2022-10-29T05:38:20.787Z,23.7023,94.4944,96.454,4.4,mb,43,84,3.75,0.71,us,us7000il4i,2023-01-12T23:10:28.040Z,"Myanmar",earthquake,9.86,7.794,0.106,26,reviewed,us,us
2022-10-25T11:09:34.944Z,20.1966,94.4057,64.331,4.4,mb,75,72,1.681,0.56,us,us6000iwb9,2023-01-03T15:23:37.040Z,"49 km W of Minbu, Myanmar",earthquake,8.57,7.255,0.085,40,reviewed,us,us
